,A,B
0,7,95
1,4,98
2,74,71
3,25,3
4,48,51
5,14,74
6,61,28
7,96,46
8,4,43
9,67,33
10,45,5
11,30,36
12,45,25
13,96,26
14,65,82
15,88,53
16,29,62
17,66,63
18,8,64
19,19,48
20,25,24
21,54,23
22,40,3
23,14,96
24,32,33
25,71,85
26,17,46
27,24,80
28,18,59
29,27,23
30,41,22
31,1,29
32,30,98
33,25,53
34,49,79
35,9,9
36,91,93
37,18,85
38,48,0
39,50,38
40,59,55
41,66,60
42,20,4
43,32,16
44,43,80
45,83,33
46,67,67
47,98,26
48,99,52
49,50,35
50,40,66
51,37,44
52,78,15
53,77,66
54,28,72
55,49,57
56,19,39
57,48,71
58,45,94
59,97,66
60,68,77
61,3,63
62,56,67
63,95,81
64,16,28
65,34,33
66,61,79
67,35,40
68,39,89
69,77,88
70,13,75
71,82,35
72,73,19
73,26,96
74,87,22
75,62,33
76,56,93
77,38,88
78,63,51
79,91,26
80,61,65
81,48,28
82,92,75
83,23,54
84,43,37
85,8,15
86,49,10
87,89,73
88,77,45
89,30,94
90,90,26
91,64,45
92,38,57
93,19,86
94,45,59
95,10,71
96,82,20
97,86,93
98,79,82
99,93,45
